
ram used:  2.14 GB, layers.6.bias                                     :  55%|▌| 
ram used:  2.14 GB, layers.8.weight                                   :  60%|▌| 
ram used:  2.14 GB, layers.8.bias                                     :  65%|▋| 
ram used:  2.14 GB, layers.10.weight                                  :  70%|▋| 
ram used:  2.14 GB, layers.10.bias                                    :  75%|▊| 
ram used:  2.14 GB, layers.10.num_batches_tracked                     :  80%|▊| 
ram used:  2.14 GB, layers.10.running_mean                            :  85%|▊| 
ram used:  2.14 GB, layers.10.running_var                             :  90%|▉| 
ram used:  2.14 GB, layers.13.weight                                  :  95%|▉| 
ram used:  2.14 GB, layers.13.bias                                    : 100%|█| 
ram used:  2.14 GB, layers.13.bias                                    : 100%|█| 
loaded weights in 203.87 ms, 0.00 GB loaded at 0.00 GB/s
